huge,巨大な,His house is huge.,huge
tiny,ごく小さな,The baby opened her tiny eyes.,tiny
major,大きなほうの,Japan played a major role in the negotiations.,major
minor,小さいほうの,Don’t worry about such a minor mistake.,minor
dry,乾いた,The paint is not completely dry.,dry
dirty,汚い,The lake is getting dirty.,dirty
loud,大きい,Your voice is too loud.,loud
touch,困難な・頑丈な,We are facing a very tough situation.,tough
knock,ノックする,Someone knocked on the door.,knocked
shut,閉める,Can you shut the door?,shut
lift,持ち上げる,This stone is too heavy to lift.,lift
press,押す,I pressed my face against the window and looked inside.,pressed
fold,折りたたむ,Fold the paper along the line.,Fold
stretch,伸ばす,They stretched their legs in the gym.,stretched
figure,姿・図形,I saw a figure in the distance.,figure
square,正方形,A handkerchief is usually in the shape if a square.,square
circle,円・団体,Draw a circle around the right answer.,circle
level,水平・水準,Dolphins have a very high level of intelligence.,level
sheet,一枚・シーツ,I'll put some clean sheets on the bed.,sheets
row,列・並び,She sat in the front row of the theater.,row
total,全体の・総計,"The total cost of the project was 54,000 dollars.",total
amount,量・総計,He paid a large amount of money for the Italian sports car.,amount
quantity,量・数量,We need a large quantity of sugar to make the cake.,quantity
mass,大きな塊・多量,There was a mass of garbage in the sea.,mass
pile,積み重ねる,Don’t pile your clothes on the floor!,pile
lack,不足・欠乏,The plants died from a lack of rain.,lack
,,,
,,,
,,,
,,,
dull,鈍い・つまらない,This knife is dull.,dull
lazy,怠惰な,His mother complains that he is lazy.,lazy
silly,馬鹿馬鹿しい・愚かな,Karl always tells silly jokes.,silly
foolish,愚かな,It’s foolish to ride a bike without a helmet.,foolish
rude,失礼な,It was rude of you to say such a thing to him.,rude
ugly,醜い・不快な,This picture seems ugly to me.,ugly
pale,青白い,She turned pale when she heard the news.,pale
horrible,恐ろしい,It was a horrible crime.,horrible
awful,恐ろしい・ひどい,The weather was awful.,awful
scold,しかる,She was scolded by her father.,scolded
punish,罰する,He knew he would be punished if he was caught.,punished
criticize,批判する,They criticize her for working too slowly.,criticize
complain,不満を言う,What are you complaining about?,complaining
refuse,断る・拒む,He refused to answer any questions.,refused
avoid,避ける,You should avoid walking alone here at night.,avoid
general,全体的な・一般的な,This book will not be understood by general readers.,general
normal,標準の・正常な,High temperatures are normal for this time of year.,normal
regular,規則的な・いつもの,His breathing was slow and regular.,regular
particular,特定の・特別の,I didn’t have a particular reason to call her.,particular
rare,まれな,Snow is rare in this town.,rare
local,その土地の,The news was in the local newspaper.,local
global,世界的な・全体的な,My father works for a global company in Tokyo.,global
leisure,ひま・余暇,I have no leisure time to watch TV.,leisure
fashion,流行,Those clothes are not in fashion now.,fashion
furniture,家具,There is a lot of furniture in this room.,furniture
photo,写真,There was a photo of him in yesterday’s paper.,photo
screen,画面,Her picture appeared on the screen.,screen
display,陳列する・示す,He displays signs of the flu.,displays
,,,
,,,
sharp,鋭い,This pencil isn't sharp.,sharp
tight,きつい,These jeans are a little tight for me.,tight
obvious,明白な,That’s an obvious spelling mistake.,obvious
plain,明らかな・わかりやすい・平原,His explanation was quite plain.,plain
brief,短時間の・簡潔な,The ceremony was brief.,brief
agriculture,農業,More than 75% of the land is used for agriculture.,agriculture
soil,土・土地,Most herbs grow well in dry soil.,soil
crop,農作物,Most of the land is used for growing crops.,crops
grain,穀物,We need a lot of grain for these chickens.,grain
greenhouse,温室,Do you know what causes the greenhouse effect?,greenhouse
